Index;name;album;artist;release_date;length;popularity;explicit;danceability;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;tempo;time_signature;key;mode;valence
96;Radioactive;Night Visions;Imagine Dragons;2012-09-04;186.813;76;False;0.448;0.106;0.448;0.784;0.000108;0.668;-3.686;0.0627;136.245;4;9;1;0.236
97;when the party's over;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;Billie Eilish;2019-03-29;196.077;85;False;0.367;0.978;0.367;0.111;3.97e-05;0.0897;-14.084;0.0972;82.642;4;4;1;0.198
98;Attention;Attention;Charlie Puth;2017-04-20;211.475;2;False;0.774;0.0969;0.774;0.626;3.12e-05;0.0848;-4.432;0.0432;100.041;4;3;0;0.777
99;Old Town Road - Remix;7 EP;Lil Nas X;2019-06-21;157.066;83;False;0.878;0.0533;0.878;0.619;0.0;0.113;-5.56;0.102;136.041;4;6;1;0.639
100;Psycho (feat. Ty Dolla $ign);beerbongs & bentleys;Post Malone;2018-04-27;221.44;82;True;0.75;0.546;0.75;0.56;0.0;0.111;-8.094;0.105;140.06;4;8;1;0.459
101;Cold Water;Cold Water;Major Lazer;2016-07-22;185.36;73;False;0.608;0.0736;0.608;0.798;0.0;0.156;-5.092;0.0432;92.943;4;6;0;0.501
102;Eastside (with Halsey & Khalid);FRIENDS KEEP SECRETS;benny blanco;2018-12-07;170.769;78;False;0.632;0.549;0.632;0.686;0.0;0.2;-7.665;0.243;89.949;4;6;0;0.329
103;No Role Modelz;2014 Forest Hills Drive;J. Cole;2014-12-09;292.986;61;True;0.692;0.301;0.692;0.521;0.0;0.0565;-8.465;0.33;100.45;4;10;0;0.463
104;What Do You Mean?;Purpose (Deluxe);Justin Bieber;2015-11-13;205.68;82;False;0.845;0.59;0.845;0.567;0.00142;0.0811;-8.118;0.0956;125.02;4;5;0;0.793
105;Cheerleader - Felix Jaehn Remix Radio Edit;Me 4 U;OMI;2015-10-16;180.56;71;False;0.78;0.141;0.78;0.68;1.2e-05;0.138;-6.081;0.0305;118.026;4;4;1;0.594
106;Can't Feel My Face;Beauty Behind The Madness;The Weeknd;2015-08-28;213.52;0;False;0.702;0.124;0.702;0.77;0.0;0.103;-5.416;0.0482;107.951;4;9;0;0.593
107;Levitating (feat. DaBaby);Future Nostalgia;Dua Lipa;2020-03-27;203.064;90;False;0.702;0.00883;0.702;0.825;0.0;0.0674;-3.787;0.0601;102.977;4;6;0;0.915
